ITEM_TYPE;BUKRS;KUNNR;BELNR;GJAHR;BLART;BUDAT;BLDAT;WAERS;DMBTR;WRBTR;SHKZG;ZFBDT;ZBD1T;VBELN;ZUONR;SGTXT;AUGDT;AUGBL
CLEARED;1000;96689310-9;0000285953;2024;SA;20240131;20240131;CLP;30000.00;30000.00;S;20240131;0;;;;20240131;0000285953
CLEARED;1000;96689310-9;0000285954;2024;SA;20240131;20240131;CLP;45564.40;45564.40;S;20240131;0;;;;20240131;0000285954
CLEARED;1000;96689310-9;0000285958;2024;SA;20240131;20240131;CLP;100000.00;100000.00;S;20240131;0;;;;20240131;0000285958
CLEARED;1000;96689310-9;0000285963;2024;SA;20240131;20240131;CLP;2531.55;2531.55;S;20240131;0;;;;20240131;0000285963
CLEARED;1000;96689310-9;0000285966;2024;SA;20240131;20240131;CLP;8157.56;8157.56;S;20240131;0;;;;20240131;0000285966
CLEARED;1000;96689310-9;0000285968;2024;SA;20240131;20240131;CLP;929.70;929.70;S;20240131;0;;;;20240131;0000285968
CLEARED;1000;96689310-9;0000285970;2024;SA;20240131;20240131;CLP;1821.16;1821.16;S;20240131;0;;;;20240131;0000285970
CLEARED;1000;96689310-9;0000285974;2024;SA;20240131;20240131;CLP;1831.62;1831.62;S;20240131;0;;;;20240131;0000285974
CLEARED;1000;96689310-9;0000285987;2024;SA;20240131;20240131;CLP;301.27;301.27;S;20240131;0;;;;20240131;0000285987
CLEARED;1000;96689310-9;0000285988;2024;SA;20240131;20240131;CLP;1375.78;1375.78;S;20240131;0;;;;20240131;0000285988
CLEARED;1000;96689310-9;0000285989;2024;SA;20240131;20240131;CLP;6274.05;6274.05;S;20240131;0;;;;20240131;0000285989
CLEARED;1000;96689310-9;0000285993;2024;SA;20240131;20240131;CLP;4749.48;4749.48;S;20240131;0;;;;20240131;0000285993
CLEARED;1000;96689310-9;0000285996;2024;SA;20240131;20240131;CLP;173.95;173.95;S;20240131;0;;;;20240131;0000285996
CLEARED;1000;96689310-9;0000285998;2024;SA;20240131;20240131;CLP;289.80;289.80;S;20240131;0;;;;20240131;0000285998
CLEARED;1000;96689310-9;0000285999;2024;SA;20240131;20240131;CLP;2489.81;2489.81;S;20240131;0;;;;20240131;0000285999
CLEARED;1000;96689310-9;0000286001;2024;SA;20240131;20240131;CLP;5982.81;5982.81;S;20240131;0;;;;20240131;0000286001
